sample	time	resource	inoculum	replicate.id
S_00670	Day_007	Medium-C	Soil	6
S_00671	Day_007	Medium-C	Soil	7
S_00672	Day_007	Medium-C	Soil	8
S_00681	Day_008	Medium-A	Water	1
S_00682	Day_008	Medium-A	Water	2
S_00683	Day_008	Medium-A	Water	3
S_00684	Day_008	Medium-A	Water	4
S_00685	Day_008	Medium-A	Soil	1
S_00686	Day_008	Medium-A	Soil	2
S_00687	Day_008	Medium-A	Soil	3
S_00688	Day_008	Medium-A	Soil	4
S_00697	Day_008	Medium-A	Water	5
S_00698	Day_008	Medium-A	Water	6
S_00699	Day_008	Medium-A	Water	7
S_00700	Day_008	Medium-A	Water	8
S_00701	Day_008	Medium-A	Soil	5
S_00702	Day_008	Medium-A	Soil	6
S_00703	Day_008	Medium-A	Soil	7
S_00704	Day_008	Medium-A	Soil	8
S_00713	Day_008	Medium-B	Water	1
S_00714	Day_008	Medium-B	Water	2
S_00715	Day_008	Medium-B	Water	3
S_00716	Day_008	Medium-B	Water	4
S_00717	Day_008	Medium-B	Soil	1
S_00718	Day_008	Medium-B	Soil	2
S_00719	Day_008	Medium-B	Soil	3
S_00720	Day_008	Medium-B	Soil	4
S_00729	Day_008	Medium-B	Water	5
S_00730	Day_008	Medium-B	Water	6
S_00731	Day_008	Medium-B	Water	7
S_00732	Day_008	Medium-B	Water	8
S_00733	Day_008	Medium-B	Soil	5
S_00734	Day_008	Medium-B	Soil	6
S_00735	Day_008	Medium-B	Soil	7
S_00736	Day_008	Medium-B	Soil	8
S_00745	Day_008	Medium-C	Water	1
S_00746	Day_008	Medium-C	Water	2
S_00747	Day_008	Medium-C	Water	3
S_00748	Day_008	Medium-C	Water	4
S_00749	Day_008	Medium-C	Soil	1
S_00750	Day_008	Medium-C	Soil	2
S_00751	Day_008	Medium-C	Soil	3
S_00752	Day_008	Medium-C	Soil	4
S_00761	Day_008	Medium-C	Water	5
S_00762	Day_008	Medium-C	Water	6
S_00763	Day_008	Medium-C	Water	7
S_00764	Day_008	Medium-C	Water	8
S_00765	Day_008	Medium-C	Soil	5
S_00766	Day_008	Medium-C	Soil	6
S_00767	Day_008	Medium-C	Soil	7
S_00768	Day_008	Medium-C	Soil	8
S_00777	Day_009	Medium-A	Water	1
S_00778	Day_009	Medium-A	Water	2
S_00779	Day_009	Medium-A	Water	3
S_00780	Day_009	Medium-A	Water	4
S_00781	Day_009	Medium-A	Soil	1
S_00782	Day_009	Medium-A	Soil	2
S_00783	Day_009	Medium-A	Soil	3
S_00784	Day_009	Medium-A	Soil	4
S_00793	Day_009	Medium-A	Water	5
S_00794	Day_009	Medium-A	Water	6
S_00795	Day_009	Medium-A	Water	7
S_00796	Day_009	Medium-A	Water	8
S_00797	Day_009	Medium-A	Soil	5
S_00798	Day_009	Medium-A	Soil	6
S_00799	Day_009	Medium-A	Soil	7
S_00800	Day_009	Medium-A	Soil	8
S_00809	Day_009	Medium-B	Water	1
S_00810	Day_009	Medium-B	Water	2
S_00811	Day_009	Medium-B	Water	3
S_00812	Day_009	Medium-B	Water	4
S_00813	Day_009	Medium-B	Soil	1
S_00814	Day_009	Medium-B	Soil	2
S_00815	Day_009	Medium-B	Soil	3
S_00816	Day_009	Medium-B	Soil	4
S_00825	Day_009	Medium-B	Water	5
S_00826	Day_009	Medium-B	Water	6
S_00827	Day_009	Medium-B	Water	7
S_00828	Day_009	Medium-B	Water	8
S_00829	Day_009	Medium-B	Soil	5
S_00830	Day_009	Medium-B	Soil	6
S_00831	Day_009	Medium-B	Soil	7
S_00832	Day_009	Medium-B	Soil	8
S_00841	Day_009	Medium-C	Water	1
S_00842	Day_009	Medium-C	Water	2
S_00843	Day_009	Medium-C	Water	3
S_00844	Day_009	Medium-C	Water	4
S_00845	Day_009	Medium-C	Soil	1
S_00846	Day_009	Medium-C	Soil	2
S_00847	Day_009	Medium-C	Soil	3
S_00848	Day_009	Medium-C	Soil	4
S_00857	Day_009	Medium-C	Water	5
S_00858	Day_009	Medium-C	Water	6
S_00859	Day_009	Medium-C	Water	7
S_00860	Day_009	Medium-C	Water	8
S_00861	Day_009	Medium-C	Soil	5
S_00862	Day_009	Medium-C	Soil	6
S_00863	Day_009	Medium-C	Soil	7
S_00864	Day_009	Medium-C	Soil	8
S_00873	Day_010	Medium-A	Water	1
S_00874	Day_010	Medium-A	Water	2
S_00875	Day_010	Medium-A	Water	3
S_00876	Day_010	Medium-A	Water	4
S_00877	Day_010	Medium-A	Soil	1
S_00878	Day_010	Medium-A	Soil	2
S_00879	Day_010	Medium-A	Soil	3
S_00880	Day_010	Medium-A	Soil	4
S_00889	Day_010	Medium-A	Water	5
S_00890	Day_010	Medium-A	Water	6
S_00891	Day_010	Medium-A	Water	7
S_00892	Day_010	Medium-A	Water	8
S_00893	Day_010	Medium-A	Soil	5
S_00894	Day_010	Medium-A	Soil	6
S_00895	Day_010	Medium-A	Soil	7
S_00896	Day_010	Medium-A	Soil	8
S_00905	Day_010	Medium-B	Water	1
S_00906	Day_010	Medium-B	Water	2
S_00907	Day_010	Medium-B	Water	3
S_00908	Day_010	Medium-B	Water	4
S_00909	Day_010	Medium-B	Soil	1
S_00910	Day_010	Medium-B	Soil	2
S_00911	Day_010	Medium-B	Soil	3
S_00912	Day_010	Medium-B	Soil	4
S_00921	Day_010	Medium-B	Water	5
S_00922	Day_010	Medium-B	Water	6
S_00923	Day_010	Medium-B	Water	7
S_00924	Day_010	Medium-B	Water	8
S_00925	Day_010	Medium-B	Soil	5
S_00926	Day_010	Medium-B	Soil	6
S_00927	Day_010	Medium-B	Soil	7
S_00928	Day_010	Medium-B	Soil	8
S_00937	Day_010	Medium-C	Water	1
S_00938	Day_010	Medium-C	Water	2
S_00939	Day_010	Medium-C	Water	3
S_00940	Day_010	Medium-C	Water	4
S_00941	Day_010	Medium-C	Soil	1
S_00942	Day_010	Medium-C	Soil	2
S_00943	Day_010	Medium-C	Soil	3
S_00944	Day_010	Medium-C	Soil	4
S_00953	Day_010	Medium-C	Water	5
S_00954	Day_010	Medium-C	Water	6
S_00955	Day_010	Medium-C	Water	7
S_00956	Day_010	Medium-C	Water	8
S_00957	Day_010	Medium-C	Soil	5
S_00958	Day_010	Medium-C	Soil	6
S_00959	Day_010	Medium-C	Soil	7
S_00960	Day_010	Medium-C	Soil	8
S_00969	Day_011	Medium-A	Water	1
S_00970	Day_011	Medium-A	Water	2
S_00971	Day_011	Medium-A	Water	3
S_00972	Day_011	Medium-A	Water	4
S_00973	Day_011	Medium-A	Soil	1
S_00974	Day_011	Medium-A	Soil	2
S_00975	Day_011	Medium-A	Soil	3
S_00976	Day_011	Medium-A	Soil	4
S_00985	Day_011	Medium-A	Water	5
S_00986	Day_011	Medium-A	Water	6
S_00987	Day_011	Medium-A	Water	7
S_00988	Day_011	Medium-A	Water	8
S_00989	Day_011	Medium-A	Soil	5
S_00990	Day_011	Medium-A	Soil	6
S_00991	Day_011	Medium-A	Soil	7
S_00992	Day_011	Medium-A	Soil	8
S_01001	Day_011	Medium-B	Water	1
S_01002	Day_011	Medium-B	Water	2
S_01003	Day_011	Medium-B	Water	3
S_01004	Day_011	Medium-B	Water	4
S_01005	Day_011	Medium-B	Soil	1
S_01006	Day_011	Medium-B	Soil	2
S_01007	Day_011	Medium-B	Soil	3
S_01008	Day_011	Medium-B	Soil	4
S_01017	Day_011	Medium-B	Water	5
S_01018	Day_011	Medium-B	Water	6
S_01019	Day_011	Medium-B	Water	7
S_01020	Day_011	Medium-B	Water	8
S_01021	Day_011	Medium-B	Soil	5
S_01022	Day_011	Medium-B	Soil	6
S_01023	Day_011	Medium-B	Soil	7
S_01024	Day_011	Medium-B	Soil	8
S_01033	Day_011	Medium-C	Water	1
S_01034	Day_011	Medium-C	Water	2
S_01035	Day_011	Medium-C	Water	3
S_01036	Day_011	Medium-C	Water	4
S_01037	Day_011	Medium-C	Soil	1
S_01038	Day_011	Medium-C	Soil	2
S_01039	Day_011	Medium-C	Soil	3
S_01040	Day_011	Medium-C	Soil	4
S_01049	Day_011	Medium-C	Water	5
S_01050	Day_011	Medium-C	Water	6
S_01051	Day_011	Medium-C	Water	7
S_01052	Day_011	Medium-C	Water	8
S_01053	Day_011	Medium-C	Soil	5
S_01054	Day_011	Medium-C	Soil	6
S_01055	Day_011	Medium-C	Soil	7
S_01056	Day_011	Medium-C	Soil	8
S_01065	Day_012	Medium-A	Water	1
S_01066	Day_012	Medium-A	Water	2
S_01067	Day_012	Medium-A	Water	3
S_01068	Day_012	Medium-A	Water	4
S_01069	Day_012	Medium-A	Soil	1
S_01070	Day_012	Medium-A	Soil	2
S_01071	Day_012	Medium-A	Soil	3
S_01072	Day_012	Medium-A	Soil	4
S_01081	Day_012	Medium-A	Water	5
S_01082	Day_012	Medium-A	Water	6
S_01083	Day_012	Medium-A	Water	7
S_01084	Day_012	Medium-A	Water	8
S_01085	Day_012	Medium-A	Soil	5
S_01086	Day_012	Medium-A	Soil	6
S_01087	Day_012	Medium-A	Soil	7
S_01088	Day_012	Medium-A	Soil	8
S_01097	Day_012	Medium-B	Water	1
S_01098	Day_012	Medium-B	Water	2
S_01099	Day_012	Medium-B	Water	3
S_01100	Day_012	Medium-B	Water	4
S_01101	Day_012	Medium-B	Soil	1
S_01102	Day_012	Medium-B	Soil	2
S_01103	Day_012	Medium-B	Soil	3
S_01104	Day_012	Medium-B	Soil	4
S_01113	Day_012	Medium-B	Water	5
S_01114	Day_012	Medium-B	Water	6
S_01115	Day_012	Medium-B	Water	7
S_01116	Day_012	Medium-B	Water	8
S_01117	Day_012	Medium-B	Soil	5
S_01118	Day_012	Medium-B	Soil	6
S_01119	Day_012	Medium-B	Soil	7
S_01120	Day_012	Medium-B	Soil	8
S_01129	Day_012	Medium-C	Water	1
S_01130	Day_012	Medium-C	Water	2
S_01131	Day_012	Medium-C	Water	3
S_01132	Day_012	Medium-C	Water	4
S_01133	Day_012	Medium-C	Soil	1
S_01134	Day_012	Medium-C	Soil	2
S_01135	Day_012	Medium-C	Soil	3
S_01136	Day_012	Medium-C	Soil	4
S_01145	Day_012	Medium-C	Water	5
S_01146	Day_012	Medium-C	Water	6
S_01147	Day_012	Medium-C	Water	7
S_01148	Day_012	Medium-C	Water	8
S_01149	Day_012	Medium-C	Soil	5
S_01150	Day_012	Medium-C	Soil	6
S_01151	Day_012	Medium-C	Soil	7
S_01152	Day_012	Medium-C	Soil	8
S_01161	Day_013	Medium-A	Water	1
S_01162	Day_013	Medium-A	Water	2
S_01163	Day_013	Medium-A	Water	3
S_01164	Day_013	Medium-A	Water	4
S_01165	Day_013	Medium-A	Soil	1
S_01166	Day_013	Medium-A	Soil	2
S_01167	Day_013	Medium-A	Soil	3
S_01168	Day_013	Medium-A	Soil	4
S_01177	Day_013	Medium-A	Water	5
S_01178	Day_013	Medium-A	Water	6
S_01179	Day_013	Medium-A	Water	7
S_01180	Day_013	Medium-A	Water	8
S_01181	Day_013	Medium-A	Soil	5
S_01182	Day_013	Medium-A	Soil	6
S_01183	Day_013	Medium-A	Soil	7
S_01184	Day_013	Medium-A	Soil	8
S_01193	Day_013	Medium-B	Water	1
S_01194	Day_013	Medium-B	Water	2
S_01195	Day_013	Medium-B	Water	3
S_01196	Day_013	Medium-B	Water	4
S_01197	Day_013	Medium-B	Soil	1
S_01198	Day_013	Medium-B	Soil	2
S_01199	Day_013	Medium-B	Soil	3
S_01200	Day_013	Medium-B	Soil	4
S_01209	Day_013	Medium-B	Water	5
S_01210	Day_013	Medium-B	Water	6
S_01211	Day_013	Medium-B	Water	7
S_01212	Day_013	Medium-B	Water	8
S_01213	Day_013	Medium-B	Soil	5
S_01214	Day_013	Medium-B	Soil	6
S_01215	Day_013	Medium-B	Soil	7
S_01216	Day_013	Medium-B	Soil	8
S_01225	Day_013	Medium-C	Water	1
S_01226	Day_013	Medium-C	Water	2
S_01227	Day_013	Medium-C	Water	3
S_01228	Day_013	Medium-C	Water	4
S_01229	Day_013	Medium-C	Soil	1
S_01230	Day_013	Medium-C	Soil	2
S_01231	Day_013	Medium-C	Soil	3
S_01232	Day_013	Medium-C	Soil	4
S_01241	Day_013	Medium-C	Water	5
S_01242	Day_013	Medium-C	Water	6
S_01243	Day_013	Medium-C	Water	7
S_01244	Day_013	Medium-C	Water	8
S_01245	Day_013	Medium-C	Soil	5
S_01246	Day_013	Medium-C	Soil	6
S_01247	Day_013	Medium-C	Soil	7
S_01248	Day_013	Medium-C	Soil	8
S_01257	Day_014	Medium-A	Water	1
S_01258	Day_014	Medium-A	Water	2
S_01259	Day_014	Medium-A	Water	3
S_01260	Day_014	Medium-A	Water	4
S_01261	Day_014	Medium-A	Soil	1
S_01262	Day_014	Medium-A	Soil	2
S_01263	Day_014	Medium-A	Soil	3
S_01264	Day_014	Medium-A	Soil	4
S_01273	Day_014	Medium-A	Water	5
S_01274	Day_014	Medium-A	Water	6
S_01275	Day_014	Medium-A	Water	7
S_01276	Day_014	Medium-A	Water	8
S_01277	Day_014	Medium-A	Soil	5
S_01278	Day_014	Medium-A	Soil	6
S_01279	Day_014	Medium-A	Soil	7
S_01280	Day_014	Medium-A	Soil	8
S_01289	Day_014	Medium-B	Water	1
S_01290	Day_014	Medium-B	Water	2
S_01291	Day_014	Medium-B	Water	3
S_01292	Day_014	Medium-B	Water	4
S_01293	Day_014	Medium-B	Soil	1
S_01294	Day_014	Medium-B	Soil	2
